Model,RMSE,MAE,Precision@10,Recall@10,F1@10
Global Mean,1.1238599168296066,0.9419550125,0.5920367494824016,0.666076130765204,0.6268778478580351
User Mean,1.041744757128949,0.8346363157520161,0.5920367494824016,0.666076130765204,0.6268778478580351
Item Mean,1.0209640682297232,0.8122727061657699,0.680406314699793,0.7251756693807553,0.7020780150879332
Popularity,1.0203593793895032,0.8117148805407698,0.680406314699793,0.7251756693807553,0.7020780150879332
Random,1.676342868228259,1.363342357372552,0.591601966873706,0.6662806882251202,0.6267245423031598
User-Based CF (k=20),0.9405844576096376,0.7365653959010305,0.6874715320910973,0.7312282668422778,0.7086751084229711
Item-Based CF (k=20),0.9163603348349588,0.7147332984829138,0.692906314699793,0.7336739954074233,0.7127076418300259
SVD (k=20),0.9890603870361772,0.7827522472068368,0.6798628364389234,0.7208485605810562,0.699756064071722
SVD (k=50),1.003101833731103,0.7958677420941985,0.6658410973084885,0.7123891936445325,0.688329092054694
Content-Based (Genres),1.139370798736934,0.9084586543560154,0.6173628364389234,0.6839864571849816,0.648969221964426
Weighted Hybrid (CF 0.6 + CB 0.3 + POP 0.1),0.944678921344564,0.7451338470176537,0.6855150103519668,0.7292214998497072,0.7066931268312118
